NAME,UMAP 1,UMAP 2,UMAP 3,UMAP 4,UMAP 5,UMAP 6,UMAP 7,UMAP 8,UMAP 9,UMAP 10,SMILES
ligand190,15.191875,2.6037455,6.517526,4.6694202,1.9576468,6.072693,3.3623476,1.6155063,8.616818,7.435519,CC(=O)CC(=O)C1CCN(CC1)C(=O)OC(C)(C)C
ligand191,10.466531,9.737034,7.651682,6.5872464,5.857101,4.001146,6.378623,2.9656239,4.2418857,4.15855,CC(=O)C(CC(=O)OC)C(=O)C
ligand192,14.56619,2.1902823,6.1409006,4.6987486,1.725352,5.8015633,3.8969631,1.7061946,8.481902,8.043036,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2
ligand193,11.364954,8.645286,8.155758,7.7676,4.4810004,4.817414,6.0485063,3.8669071,4.7817936,4.338655,CC(=O)C(C(=O)C)C(C)(C)C
ligand194,7.2139487,6.3018656,3.606214,3.9286363,4.337549,3.1532218,5.2039366,3.50001,3.885858,2.110237,C1CC1C(=O)CC(=O)C2=CC=CC=C2
ligand195,9.299139,6.093008,6.041585,6.0453033,3.3076398,4.566865,5.353059,1.8203756,4.9596953,4.705063,CC(=O)C(C1=CC=C(C=C1)[N+](=O)[O-])C(=O)C
ligand196,6.234039,5.7128577,4.5318723,4.920619,4.8379183,3.1890578,6.191594,3.7014678,3.9622633,3.41915,COC1=CC2=C(C=C1)C=C(C=C2)C(=O)CC(=O)C3=CC(=CC(=C3)Cl)Cl
ligand197,11.543795,8.379213,8.59279,7.9559183,4.477171,4.672844,6.4165955,3.923788,4.749137,4.603882,COC1=CC=CC(=C1)C(=O)CC(=O)C(F)(F)F
ligand199,13.747011,2.255321,6.37006,4.7778134,1.5883404,5.3931217,4.2105155,2.277867,8.645065,8.952484,CC(=O)CC(=O)C(C(C(F)(F)F)(F)F)(F)F
ligand2,12.426856,2.4632025,5.6640887,4.685305,0.31208888,6.076144,4.5579195,1.5122409,6.9376793,8.973538,COC1=CC=C(C=C1)C(=O)CC(=O)C(F)F
ligand20,10.443874,9.649146,7.625941,6.2710414,5.9736595,3.6441798,5.9862695,2.8403554,4.3616133,4.015704,C1=CC(=CC=C1C(=O)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-]
ligand200,15.164417,2.5542974,6.519475,4.5907845,1.7878561,6.0286555,3.3353302,1.9045818,8.492131,7.578272,COC(=O)C1CC(=O)CC(=O)C1
ligand201,10.897619,10.594502,6.7767744,6.607838,5.563079,4.1228313,5.362575,4.6450233,4.646459,3.4849863,COC1=CC=C(C=C1)C(=O)C2CCCCC2=O
ligand202,8.923222,5.659726,5.885754,5.245002,3.0448802,3.8345096,4.8210106,2.8579423,4.4848695,3.5504017,CC1(CCC(C1=O)C(=O)C(F)(F)F)C
ligand203,10.492304,9.071205,7.8656793,6.0089207,5.9514647,3.4702106,5.914511,3.0565777,4.5210533,4.3659053,CC(=O)CC(=O)C1=CC=CC=C1
ligand204,11.641467,8.395127,8.616927,8.015443,4.4903097,4.673757,6.456652,3.892089,4.6866527,4.5768747,CCCCCC(C(=O)C)C(=O)C
ligand205,7.2280264,4.8503165,4.826457,4.7473297,5.3283453,3.6457179,6.27591,2.4537036,5.1989613,3.568132,CC1=CC(=C(C(=C1)C)C(=O)CC(=O)C)C
ligand206,15.222978,2.696982,6.505432,4.733173,1.8869326,6.1106815,3.4440475,1.5664196,8.5899935,7.403534,CCOC(=O)C(=O)CC(=O)C1=CC=CC=C1Cl
ligand207,9.478087,6.2580304,6.067097,6.092713,3.4193065,4.637137,5.466765,1.8830103,4.9564886,4.8732195,CC(=O)CC(=O)C1=CC=C(C=C1)C#N
ligand208,11.437652,8.555596,8.25976,7.8647785,4.4366918,4.803061,6.1707687,3.8731449,4.7676067,4.4279294,C1=CN=CC=C1C(=O)CC(=O)C2=CC=NC=C2
ligand21,11.297915,10.947622,5.711293,6.222443,5.892069,4.720576,4.9857745,5.0172133,5.200078,3.4672778,CCOC(=O)C(=O)CC(=O)C1=CN=CC=C1
ligand210,11.150286,10.766984,5.92979,6.271362,5.7219505,4.4531856,5.1393414,4.7734733,4.990094,3.6018035,CC(=O)C(C(=O)C)C12CC3CC(C1)CC(C3)C2
